word,Anxious,Depressed,Happy,Introvert,Stable,bio_frequency,km_half_life_days,lognormal_half_life_days,lognormal_mu,lognormal_sigma,prev1,prev2,unique_users
esse,35.31609571718046,46.59188740272657,40.603497438307386,63.237846840426926,45.89844086571625,105.0,104.0,166.42,5.114543,2.498475,0.4828560019001036,0.3963227465943442,93.0
essence,53.37538397032689,44.21614418243681,53.80272141005808,53.918747934638375,52.93336328837592,192.0,238.0,219.22,5.390062,2.308166,1.5921197900489903,1.3133047877341997,182.0
essential,46.18521219555856,45.7833010521698,70.85228602281202,74.19327150836853,76.34421034738779,448.0,324.0,350.52,5.859426,2.004146,2.2837783873653548,2.828656465889045,410.0
essentially,49.911772199294255,53.32905182723449,47.55104386449918,53.72615153435408,58.720433236166656,57.0,146.0,147.06,4.990872,1.796369,0.2740534064838426,0.3341544726187608,56.0
essentials,46.12947237468965,32.4818554470114,78.0549982612375,72.65861054059654,77.872735769502,62.0,322.0,302.18,5.711015,1.906819,0.3784547041919731,0.3963227465943442,58.0
essex,38.76560321672199,35.10489544405434,76.3077766519442,57.08718596557358,70.32395280582543,56.0,479.0,771.08,6.647796,2.34436,0.4045550286190057,0.2253599931614898,52.0
est,44.84692619005836,41.19072531857049,47.37268843780496,35.89004202259514,46.94360366211867,2921.0,228.0,227.3,5.426269,2.140925,16.926060390930658,16.14820916515779,2531.0
esta,70.06502497146512,46.24667414691272,72.2688283089619,34.66432505844425,40.95226731624854,184.0,146.0,215.7,5.373874,2.748756,0.6394579484622994,0.7071641164722613,174.0
establish,31.06002773461961,27.236022081645096,73.22059058122103,72.8478476979834,79.13975069384873,55.0,326.0,350.57,5.859568,2.188588,0.3393042175514241,0.310841369877917,55.0
established,33.727915866696954,29.17920022823699,82.92173000489579,65.1199524544404,79.17510904064117,490.0,1030.0,795.29,6.678705,2.353472,1.709571249970637,2.541128198751972,478.0
establishing,26.23172132682242,22.94912967059905,75.380097778537,59.8938667037427,72.34198572893317,32.0,491.0,344.2,5.841211,1.900739,0.1435517843486794,0.1476496506920106,31.0
establishment,42.93730815498651,58.84528261702131,44.62465427553409,68.3058867842856,38.17123952623992,86.0,97.0,90.56,4.506065,2.098079,0.3654045419784568,0.6061406712619383,74.0
estado,53.61395223506557,28.811165237274487,93.98838691549504,39.88855840711712,42.44279927502591,58.0,510.0,406.37,6.007268,2.226556,0.1044012977081305,0.1476496506920106,50.0
