Word,Happy,Stable,Introvert,Anxious,Depressed
ئ,0.9994149922267912,0.8632054196856089,0.9975447653856184,0.8552783435919498,0.9351534361454032
our,8.716145842857514e-07,3.3774708600997627e-06,0.00047763104638964826,0.009502710938059655,0.00484020252652928
gramma,0.9187820449156898,0.9761190419017198,0.6525509761032389,0.6400937516368546,0.605577903370383
🏳,0.42247157223927,0.20050265848191806,0.46113143196307993,4.3258446830174435e-05,7.677240871273305e-05
planetary,0.7593386093879648,0.7813383471724149,0.23192729042921223,0.8477853106418449,0.9120586625152898
martini,0.7533466803499205,0.750635729011597,0.894565611649663,0.9372811982722371,0.9049415944136934
assault,0.967806428529923,0.9846385324296505,0.7250048126608177,0.9233770178885499,0.8198945819954864
spanglish,0.9343691343908846,0.9528777583807149,0.8923605115565605,0.8396826561080848,0.9723281093593659
bella,0.7704712012925106,0.9212941745645191,0.6735778693836163,0.6599845167110665,0.9455220813899634
cutest,0.9643176635382364,0.9440735380677974,0.9200842307143304,0.7246726766011236,0.8281436213142863
patriarchy,0.6278102483255326,0.583676818339472,0.8240676833165581,0.8541464859795809,0.6407782855093465
▬,0.5077037885914317,0.9297661082821018,0.3868399103604385,0.920434072997774,0.8522251987855611
davis,0.6009705390813498,0.47612937722452897,0.6152371270672501,0.7308310521767547,0.6134604986888008
february,0.9753584070037897,0.7709490688863898,0.9874549311492598,0.9044828815409542,0.8633990684644088
posters,0.7823421947309182,0.5683292675100602,0.44869993043972345,0.8953372540328557,0.9293279882005792
fruit,0.7268101605830841,0.6581776226536049,0.8694771594363022,0.9691036744971755,0.8796877814715722
pageant,0.5877123168330072,0.575195558648673,0.8643267316361469,0.9723168363366181,0.8802666355916124
urban,0.06784704260622698,0.08165737242998006,0.02011380960338771,0.2929752654727915,0.6183918672351516
🍾,0.793057254660732,0.8020362656424906,0.5860647425024161,0.8754788342841358,0.8891544986334905
teamsu,0.873732832419684,0.982142528947002,0.953329046161435,0.8850447538620749,0.8688212862208833
